GIDTR,State,State_name,County,County_name,Tract,Num_BGs_in_Tract,pct_Prs_Blw_Pov_Lev_ACS__,pct_Civ_unemp_16p_ACS__,pct_Not_HS_Grad_ACS__,pct_College_ACS__,pct_Renter_Occp_HU_ACS__,pct_Vacant_Units_ACS__,No_Health_Ins_ACS__,pct_Males_ACS__,pct_NH_White_alone_ACS__,pct_NH_Blk_alone_ACS__,Tot_Population_ACS__,LAND_AREA,pct_Pop_25_44_ACS__,pct_Pop_Below25_ACS__,pct_Pop_45plus_ACS__,Pop_density_calculated_ACS,Pct_No_Health_Ins_CALCULATED_ACS__,Med_HHD_Inc_Thousands_ACS__,dist_general_km,dist_sud_km,general_facility_count,sud_facility_count,general_facility_count_5km,sud_facility_count_5km,general_facilities_per_10k,sud_facilities_per_10k,general_facilities_per_10k_5km,sud_facilities_per_10k_5km,accessibility_general_2sfca_10km_per10k,accessibility_sud_2sfca_10km_per10k,accessibility_general_2sfca_20km_per10k,accessibility_sud_2sfca_20km_per10k,accessibility_general_2sfca_30km_per10k,accessibility_sud_2sfca_30km_per10k,Intent,Period,Count,Rate,Rate_M,Rate_M_CI,Rate_Independent,Med_HHD_Inc_Thousands_ACS___Neighbor_1,Med_HHD_Inc_Thousands_ACS___Neighbor_Avg,pct_Renter_Occp_HU_ACS___Neighbor_1,pct_Renter_Occp_HU_ACS___Neighbor_Avg,pct_Prs_Blw_Pov_Lev_ACS___Neighbor_1,pct_Prs_Blw_Pov_Lev_ACS___Neighbor_Avg,pct_Vacant_Units_ACS___Neighbor_1,pct_Vacant_Units_ACS___Neighbor_Avg,Pct_No_Health_Ins_CALCULATED_ACS___Neighbor_1,Pct_No_Health_Ins_CALCULATED_ACS___Neighbor_Avg,Rate_Independent_Neighbor_1,Rate_Independent_Neighbor_Avg,year_pair,Cluster_ID
53033000101,53,Washington,33,King County,101,3,13.14,2.49,6.19,50.62,91.58,13.29,319.0,54.07,45.81,15.27,3399.0,0.16,50.13,13.97,26.36,21243.75,9.39,65.804,0.504,1.276,0,0,16,9,0.0,0.0,47.073,26.478,0.787,0.3,0.884,0.369,0.854,0.354,Drug_OD,TTM,1-9,21.9,1.0,12.4-46.0,61.6,118.699,101.611,32.66,44.707,3.34,8.417,2.65,5.923,6.76,8.197,61.6,61.6,2024→2025,3
53033000102,53,Washington,33,King County,102,3,15.15,1.16,10.3,55.34,59.8,8.24,580.0,50.78,75.17,3.54,4382.0,0.577,37.29,13.14,46.21,7594.45,13.24,84.68,1.188,1.152,0,0,15,8,0.0,0.0,34.231,18.257,0.933,0.316,0.96,0.395,0.899,0.369,Drug_OD,TTM,1-9,21.9,1.0,12.4-46.0,61.6,65.804,104.939,91.58,46.89,13.14,7.003,13.29,5.603,9.39,6.723,61.6,48.267,2024→2025,3
53033000201,53,Washington,33,King County,201,3,16.15,2.53,7.82,53.98,52.28,4.29,220.0,54.62,58.56,11.94,4691.0,0.698,29.78,16.82,49.06,6720.63,4.69,90.083,2.023,1.814,0,0,15,9,0.0,0.0,31.976,19.186,0.853,0.34,0.911,0.355,0.868,0.361,Drug_OD,TTM,1-9,21.9,1.0,12.4-46.0,61.6,118.699,108.745,32.66,37.75,3.34,6.367,2.65,3.313,6.76,6.047,61.6,60.7,2024→2025,3
53033000202,53,Washington,33,King County,202,3,3.34,6.2,3.99,58.24,32.66,2.65,299.0,51.14,51.48,9.79,4425.0,0.571,36.86,15.87,37.33,7749.56,6.76,118.699,1.164,1.094,0,0,15,9,0.0,0.0,33.898,20.339,0.863,0.329,0.923,0.358,0.877,0.364,Drug_OD,TTM,1-9,21.9,1.0,12.4-46.0,61.6,65.804,81.595,91.58,66.243,13.14,12.3,13.29,6.033,9.39,7.217,61.6,48.267,2024→2025,3
53033000300,53,Washington,33,King County,300,2,8.15,4.44,7.31,62.23,25.72,6.77,113.0,53.61,63.63,2.02,2964.0,0.468,29.08,29.75,36.03,6333.33,3.81,118.638,1.303,1.281,0,0,16,9,0.0,0.0,53.981,30.364,0.752,0.33,0.856,0.311,0.836,0.349,Drug_OD,TTM,11,108.8,0.0,,98.9,112.702,82.333,23.42,53.297,9.05,16.493,5.72,4.433,2.34,3.357,17.0,59.167,2024→2025,2
53033000402,53,Washington,33,King County,402,4,4.01,3.44,4.14,53.53,53.45,5.65,338.0,43.88,76.54,2.05,5421.0,0.695,26.03,17.23,53.37,7800.0,6.24,87.061,0.82,0.849,1,0,15,9,1.845,0.0,27.67,16.602,0.825,0.305,0.901,0.332,0.862,0.359,Drug_OD,TTM,1-9,30.6,1.0,17.7-62.9,27.1,96.795,63.816,36.04,61.383,4.62,15.567,3.07,2.48,11.62,6.787,27.1,74.967,2024→2025,3
53033000403,53,Washington,33,King County,403,2,17.8,15.97,3.39,43.97,63.92,1.08,188.0,47.21,69.44,3.24,3298.0,0.258,36.57,13.59,44.94,12782.95,5.7,50.438,0.884,0.864,0,0,16,8,0.0,0.0,48.514,24.257,0.695,0.298,0.805,0.296,0.798,0.337,Drug_OD,TTM,11,108.8,0.0,,98.9,44.214,102.665,84.19,48.493,24.28,12.177,3.29,3.443,3.04,4.403,98.9,51.033,2024→2025,2
53033000404,53,Washington,33,King County,404,3,24.28,3.57,11.32,31.94,84.19,3.29,117.0,32.91,37.3,33.27,3847.0,0.231,34.57,19.76,43.07,16653.68,3.04,44.214,0.837,0.805,0,1,16,8,0.0,2.599,41.591,20.795,0.705,0.306,0.814,0.298,0.804,0.34,Drug_OD,TTM,11,108.8,0.0,,98.9,50.438,85.379,63.92,47.697,17.8,9.987,1.08,4.5,5.7,5.25,98.9,74.967,2024→2025,2
53033000500,53,Washington,33,King County,500,2,8.24,0.52,2.0,75.03,7.84,1.39,137.0,52.09,78.57,3.99,3486.0,1.119,21.51,21.12,50.06,3115.28,3.93,176.719,1.838,1.841,0,0,15,5,0.0,0.0,43.029,14.343,0.771,0.293,0.848,0.316,0.827,0.351,Drug_OD,TTM,1-9,30.6,1.0,17.7-62.9,27.1,50.438,87.523,63.92,50.843,17.8,10.453,1.08,4.49,5.7,6.217,98.9,51.033,2024→2025,3
53033000602,53,Washington,33,King County,602,3,4.62,3.77,9.03,44.89,36.04,3.07,430.0,50.46,50.86,7.24,3700.0,0.909,39.68,20.6,34.86,4070.41,11.62,96.795,0.434,0.799,2,1,15,9,5.405,2.703,40.541,24.324,0.872,0.33,0.933,0.34,0.88,0.367,Drug_OD,TTM,1-9,30.6,1.0,17.7-62.9,27.1,87.061,83.304,53.45,54.453,4.01,12.147,5.65,5.237,6.24,4.363,27.1,74.967,2024→2025,3
