GIDTR,shap_top_feature
53033000101,Rate_Independent
53033000102,Rate_Independent
53033000201,Rate_Independent
53033000202,Rate_Independent
53033000300,Rate_Independent
53033000402,Rate_Independent
53033000403,Rate_Independent
53033000404,Rate_Independent
53033000500,Rate_Independent
53033000602,Rate_Independent
53033000700,Rate_Independent
53033000800,Rate_Independent
53033000900,Rate_Independent
53033001000,Rate_Independent
53033001100,Rate_Independent
53033001300,Rate_Independent
53033001400,Rate_Independent
53033001500,Rate_Independent
53033001600,Rate_Independent
53033001701,Rate_Independent
53033001702,Rate_Independent
53033001800,Rate_Independent
53033001900,Rate_Independent
53033002000,Rate_Independent
53033002100,Rate_Independent
53033002200,Rate_Independent
53033002400,Rate_Independent
53033002500,Rate_Independent
53033002600,Rate_Independent
53033002700,Rate_Independent
53033002800,Rate_Independent
53033002900,Rate_Independent
53033003000,Rate_Independent
53033003100,Rate_Independent
53033003201,Rate_Independent
53033003202,Rate_Independent
53033003301,Rate_Independent
53033003302,Rate_Independent
53033003400,Rate_Independent
53033003500,Rate_Independent
53033003601,Rate_Independent
53033003602,Rate_Independent
53033003800,Rate_Independent
53033003900,Rate_Independent
53033004000,Rate_Independent
53033004101,Rate_Independent
53033004102,Rate_Independent
53033004201,Rate_Independent
53033004202,Rate_Independent
53033004301,Rate_Independent
53033004302,Rate_Independent
53033004401,Rate_Independent
53033004402,Rate_Independent
53033004500,Rate_Independent
53033004600,Rate_Independent
53033004701,Rate_Independent
53033004702,Rate_Independent
53033004703,Rate_Independent
53033004800,Rate_Independent
53033004901,Rate_Independent
53033004902,Rate_Independent
53033005000,Rate_Independent
53033005100,Rate_Independent
53033005201,Rate_Independent
53033005202,Rate_Independent
53033005304,Rate_Independent
53033005305,Rate_Independent
53033005306,Rate_Independent
53033005307,Rate_Independent
53033005401,Rate_Independent
53033005402,Rate_Independent
53033005600,Rate_Independent
53033005700,Rate_Independent
53033005801,Rate_Independent
53033005803,Rate_Independent
53033005804,Cluster_2
53033005901,Rate_Independent
53033005902,Rate_Independent
53033006000,Rate_Independent
53033006100,Rate_Independent
53033006200,Rate_Independent
53033006300,Rate_Independent
53033006400,Rate_Independent
53033006500,Rate_Independent
53033006600,Rate_Independent
53033006701,Rate_Independent
53033006702,Cluster_2
53033006703,Rate_Independent
53033006800,Rate_Independent
53033006900,Med_HHD_Inc_Thousands_ACS__
53033007001,Cluster_2
53033007002,pct_Vacant_Units_ACS___Neighbor_Avg
53033007101,Cluster_2
53033007102,Med_HHD_Inc_Thousands_ACS___Neighbor_Avg
53033007201,Cluster_2
53033007202,Rate_Independent
53033007203,Cluster_2
53033007301,Rate_Independent
53033007302,Rate_Independent
53033007303,Rate_Independent
53033007403,Rate_Independent
53033007404,Rate_Independent
53033007405,Rate_Independent
53033007406,Rate_Independent
53033007501,Rate_Independent
53033007502,Rate_Independent
53033007503,Rate_Independent
53033007600,Rate_Independent
53033007700,Rate_Independent
53033007901,Rate_Independent
53033007902,Rate_Independent
53033008002,Rate_Independent
53033008003,Cluster_2
53033008004,Cluster_2
53033008101,Rate_Independent
53033008102,Rate_Independent
53033008200,Rate_Independent
53033008300,Rate_Independent
53033008401,Rate_Independent
53033008402,Rate_Independent
53033008500,Rate_Independent
53033008600,Rate_Independent
53033008900,Rate_Independent
53033009000,Rate_Independent
53033009100,Rate_Independent
53033009200,Rate_Independent
53033009300,Rate_Independent
53033009400,Rate_Independent
53033009500,Rate_Independent
53033009801,Rate_Independent
53033009802,Rate_Independent
53033009900,Rate_Independent
53033010001,Rate_Independent
53033010002,Rate_Independent
53033010102,Rate_Independent
53033010200,Rate_Independent
53033010601,pct_NH_Blk_alone_ACS__
53033010701,pct_NH_Blk_alone_ACS__
53033010702,pct_NH_Blk_alone_ACS__
53033010800,Med_HHD_Inc_Thousands_ACS___Neighbor_Avg
53033011001,Rate_Independent
53033011101,Rate_Independent
53033011102,Rate_Independent
53033011200,Rate_Independent
53033011300,Rate_Independent
53033011401,Rate_Independent
53033011402,Rate_Independent
53033011500,Rate_Independent
53033011601,Rate_Independent
53033011602,Rate_Independent
53033011700,Rate_Independent
53033011801,Rate_Independent
53033011802,Rate_Independent
53033011901,Rate_Independent
53033011902,Rate_Independent
53033020100,Rate_Independent
53033020200,Rate_Independent
53033020301,Rate_Independent
53033020302,Rate_Independent
53033020401,Rate_Independent
53033020402,Rate_Independent
53033020500,Rate_Independent
53033020600,Rate_Independent
53033020700,Rate_Independent
53033020800,Rate_Independent
53033020900,Rate_Independent
53033021000,Rate_Independent
53033021100,Rate_Independent
53033021300,Rate_Independent
53033021400,Rate_Independent
53033021500,Rate_Independent
53033021600,Rate_Independent
53033021701,Rate_Independent
53033021702,Rate_Independent
53033021802,Rate_Independent
53033021803,Rate_Independent
53033021804,Rate_Independent
53033021903,Rate_Independent
53033021904,Rate_Independent
53033021905,Rate_Independent
53033021906,Rate_Independent
53033022001,Rate_Independent
53033022003,Rate_Independent
53033022005,Rate_Independent
