Med_HHD_Inc_Thousands_ACS__,pct_Renter_Occp_HU_ACS__,pct_Vacant_Units_ACS__,pct_Not_HS_Grad_ACS__,pct_College_ACS__,pct_NH_Blk_alone_ACS__,Pct_No_Health_Ins_CALCULATED_ACS__,Med_HHD_Inc_Thousands_ACS___Neighbor_Avg,pct_Vacant_Units_ACS___Neighbor_Avg,pct_Renter_Occp_HU_ACS___Neighbor_Avg,Cluster_1,Cluster_2,Cluster_3,Velocity_1Yr,GIDTR
65.804,91.58,13.29,6.19,50.62,15.27,9.39,101.611,5.923,44.707,0,0,1,61.6,53033000101
84.68,59.8,8.24,10.3,55.34,3.54,13.24,104.939,5.603,46.89,0,0,1,61.6,53033000102
90.083,52.28,4.29,7.82,53.98,11.94,4.69,108.745,3.313,37.75,0,0,1,61.6,53033000201
118.699,32.66,2.65,3.99,58.24,9.79,6.76,81.595,6.033,66.243,0,0,1,61.6,53033000202
118.638,25.72,6.77,7.31,62.23,2.02,3.81,82.333,4.433,53.297,0,1,0,98.9,53033000300
87.061,53.45,5.65,4.14,53.53,2.05,6.24,63.816,2.48,61.383,0,0,1,27.1,53033000402
50.438,63.92,1.08,3.39,43.97,3.24,5.7,102.665,3.443,48.493,0,1,0,98.9,53033000403
44.214,84.19,3.29,11.32,31.94,33.27,3.04,85.379,4.5,47.697,0,1,0,98.9,53033000404
176.719,7.84,1.39,2.0,75.03,3.99,3.93,87.523,4.49,50.843,0,0,1,27.1,53033000500
96.795,36.04,3.07,9.03,44.89,7.24,11.62,83.304,5.237,54.453,0,0,1,27.1,53033000602
88.899,54.87,0.52,6.27,53.12,5.94,7.57,124.575,3.453,32.343,0,0,0,21.6,53033000700
130.313,16.43,0.87,1.46,74.14,0.76,4.02,113.071,3.463,36.003,0,0,0,21.6,53033000800
132.188,17.21,8.59,1.34,81.75,4.16,1.34,157.557,4.733,14.79,0,0,0,0.0,53033000900
118.125,35.93,1.28,4.53,61.43,7.83,2.97,118.704,2.607,33.247,0,0,0,21.6,53033001000
136.9,28.44,6.43,0.41,77.08,0.43,3.3,117.459,2.153,40.82,0,0,0,21.6,53033001100
83.816,60.37,5.39,4.7,50.27,6.84,7.39,113.744,5.737,61.133,0,1,0,101.3,53033001300
125.071,35.16,6.74,1.71,65.91,0.29,6.71,144.69,6.877,46.773,0,0,1,27.1,53033001400
187.143,18.38,3.63,0.0,71.41,2.2,0.22,185.43,1.93,26.907,0,0,0,14.3,53033001500
219.583,22.16,2.08,0.88,78.0,0.52,2.65,144.551,7.3,33.997,0,0,0,14.3,53033001600
93.048,69.71,7.02,8.39,60.13,7.23,8.01,106.28,8.34,58.363,0,0,0,14.3,53033001701
121.44,48.45,11.53,4.84,58.4,4.08,3.25,115.429,5.75,45.027,0,0,0,14.3,53033001702
