Med_HHD_Inc_Thousands_ACS__,pct_Renter_Occp_HU_ACS__,pct_Vacant_Units_ACS__,pct_Not_HS_Grad_ACS__,pct_College_ACS__,pct_NH_Blk_alone_ACS__,Pct_No_Health_Ins_CALCULATED_ACS__,Med_HHD_Inc_Thousands_ACS___Neighbor_Avg,pct_Vacant_Units_ACS___Neighbor_Avg,pct_Renter_Occp_HU_ACS___Neighbor_Avg,GIDTR
-1.5222032,1.172983,-0.40439692,-3.1334085,-1.5443054,3.3239756,-4.217848,4.7722363,-5.3351965,-2.9550939,53033000101
1.2378381,-0.25331956,-2.9918823,0.40444267,-2.3745413,-1.1685463,-2.3995426,2.314621,-4.488053,-0.88007164,53033000102
0.9477353,-3.9075747,-1.9804721,-0.6461276,-2.3046772,0.08888691,2.8174996,3.5690227,-4.0691047,-3.8120294,53033000201
0.41102582,-2.8635347,-1.4963044,-2.3818984,-2.098325,-0.48038507,-2.0605533,6.302161,-3.4564946,-1.7759602,53033000202
4.0874324,8.720643,3.5420127,8.022884,6.6332703,5.794807,7.1302366,20.019556,2.1358275,3.0829952,53033000300
1.1850866,-2.3971076,-1.4148973,-2.217413,-1.5627396,1.5468969,-1.2874492,7.3891907,-1.3678265,-1.6866738,53033000402
33.207848,6.658604,2.9479704,0.09810625,7.033615,0.86358374,4.5571537,13.094034,0.19375098,2.6685483,53033000403
27.36106,8.416454,-0.5067995,2.851347,3.6390018,11.670976,11.0671015,13.03872,-2.862152,0.7469739,53033000404
-3.6613283,-4.036205,0.7939559,-2.5473866,-0.85537183,-0.5169315,2.415071,8.17919,-1.4110559,-1.1096263,53033000500
1.5022441,-1.3332212,-0.98404455,-0.79535145,2.2760103,-1.1684564,-1.9925524,7.88644,-4.0131826,-3.4762251,53033000602
1.5261059,-2.637602,0.49041674,-1.7205585,-1.0408373,1.0988847,0.14496772,-1.095634,-2.7208624,-2.982688,53033000700
-0.7295978,-3.9133646,0.8042328,-1.6697688,-0.8337108,-2.8239474,1.8478069,5.2373867,-2.3449004,-2.6940215,53033000800
-0.7315678,-3.876948,-5.3333216,-2.4133575,-1.7210846,-1.1988571,-0.8907494,-10.443765,-1.9878253,-2.7100067,53033000900
0.6609194,-1.3271912,0.4433428,-1.62289,-0.25333843,0.45278066,0.24640302,-1.2818098,-1.9297206,-2.8403835,53033001000
-0.8946063,-1.3421323,-0.28417566,-0.92181885,1.7334695,-2.1665912,0.72145504,-1.5173113,-1.8143538,-1.5716316,53033001100
3.0645678,5.0485206,0.28986067,-0.15918268,4.7503543,1.7002819,2.2825978,9.17993,-1.103448,2.1898344,53033001300
1.2295243,0.014546193,0.52349657,-0.45701852,-0.005207428,-1.3545822,0.50257856,-8.018879,0.37810114,1.5971389,53033001400
-2.3125286,-2.1238558,-0.385234,0.46856982,-0.3331287,-0.3896477,1.0807923,-10.876932,-2.4673908,-1.5846943,53033001500
-3.405239,-2.0284019,0.597953,-1.3235887,1.7836868,-2.1305177,0.19568473,-10.42439,-0.6632645,-1.6434702,53033001600
0.6592773,-1.2150694,-1.5756843,-0.96348214,-1.5819753,-1.3117728,-1.750717,0.9021791,-3.3942716,-3.8907406,53033001701
0.3297197,-1.9206483,-3.594629,-2.6726637,-2.0967484,-1.5120652,-0.22617714,-0.76246494,-2.0457273,-1.2219734,53033001702
4.704369,4.794951,3.4028373,0.7892134,1.6586474,3.8299744,2.534016,-0.6824246,2.8574011,0.6120755,53033001800
2.3405929,3.6208675,3.6102333,0.87042505,1.8437442,8.382538,5.2919655,-3.4188015,0.4462041,1.6737179,53033001900
-1.3002669,-1.6137555,-1.0751349,0.07817256,-0.14496525,1.1628705,0.84726256,-5.5127707,-2.0012138,-1.3168422,53033002000
-0.356541,-0.474539,-0.19027574,-0.6069788,-0.073903225,-1.0134032,1.2729825,-6.4757514,-1.9064356,-1.5754291,53033002100
-5.033103,-3.0299692,-1.0593398,-0.9793523,0.39461017,-3.252948,-1.9221117,-9.678514,-2.252206,-2.1606967,53033002200
